,FUND_NAME,RD_FEES,MA_FEES,MA_FEES_DAILY,AD_FEES,CUS_FEES
0,中国龙,,0.002,5.48E-06,-,0.0003
1,泰山1号,,0.005,1.37E-05,0.0055,0.0005
2,民汇1号,,0.002,5.48E-06,0,0
3,聚鑫1号,,0.002,5.48E-06,0,0
4,金享,,0.0075,2.06E-05,0.0075,0.0005
5,通汇4号,,0.002,5.48E-06,0,0
6,通汇5号,,0.002,5.48E-06,,0.0001
7,通汇6号,,0.002,5.48E-06,,0.0002
8,通汇7号,,0.002,5.48E-06,,0.0001
9,聚信2号,,0.002,5.48E-06,,
10,民华,,0.001,2.74E-06,-,0.0003
11,民汇4号,,0.003,8.22E-06,,
12,通汇1号,,0.002,5.48E-06,,
13,通汇2号,,0.002,5.48E-06,,
14,聚鑫2号,,0.003,8.22E-06,,0.0004
15,通汇3号,,0.002,5.48E-06,,
16,聚信3号,,0.002,5.48E-06,,
17,指数增强1号,,0.003,8.22E-06,0.002,
18,聚鑫3号,,0.002,5.48E-06,-,
19,惠鑫9号,,0.008,2.19E-05,,
20,惠鑫14号,,0.002,5.48E-06,,
21,民汇8号,,0.003,8.22E-06,,
22,民汇9号,,0.003,8.22E-06,,
23,民汇10号,,0.003,8.22E-06,,
24,民汇11号,,0.003,8.22E-06,,
25,民汇12号,,0.003,8.22E-06,,
26,民汇13号,,0.003,8.22E-06,,
27,吉惠2号,,0.001,2.74E-06,,
28,民汇多策略1号,0.002,0.002,5.48E-06,,
29,港惠2号,,0.005,1.37E-05,0.005,
30,中国龙2号,,0.006,1.64E-05,0.004,
31,新汇4号,,0.005,1.37E-05,,
32,新汇5号,,0.0019,5.21E-06,,
33,精选策略FOF1号,,0.002,5.48E-06,,
34,通汇11号,,0.01,2.74E-05,,
35,通汇9号,,0.01,2.74E-05,,
36,港惠1号,,0.005,1.37E-05,-,
37,惠鑫32号,,0.005,1.37E-05,-,0.0001
38,港惠3号,,0.005,1.37E-05,,
39,通汇12号,,0.002,5.48E-06,,
40,民汇19号,,0.002,5.48E-06,,
41,量化选股2号,,0.005,1.37E-05,0.005,
42,月月盈理财债券,,0.003,8.22E-06,,
43,聚鑫10号,,0.0025,6.85E-06,-,0.0001
44,聚鑫11号,,0.003,8.22E-06,-,0.0001
45,聚鑫12号,,0.005,1.37E-05,,
46,量化选股3号,,0.0027,7.40E-06,-,0.0001
47,进取3号,,0.005,1.37E-05,0.005,
48,民汇20号,,0.003,8.22E-06,,0.0001
49,民汇22号,-,0.003,8.22E-06,-,-
50,民汇23号,,0.0015,4.11E-06,,
51,日日盈货币,,0.0025,6.85E-06,,
52,通汇16号,,0.002,5.48E-06,,
53,通汇17号,,0.002,5.48E-06,,
54,聚鑫16号,,0.012,3.29E-05,0.01,
55,聚鑫18号,,0.012,3.29E-05,0.01,
56,万富1号,,0.005,1.37E-05,0.005,
57,民汇21号,,0.003,8.22E-06,,
58,月长石,,0.005,1.37E-05,,
59,汇通1号,,0.002,5.48E-06,0,0
60,汇通2号,,0.002,5.48E-06,0,0
61,周周盈,,0.003,8.22E-06,,
62,聚鑫22号,,0.004,1.10E-05,,
63,隆源稳健1号,,0.005,1.37E-05,0.005,
64,信汇2号,,0.005,1.37E-05,0.01,
65,通汇18号,,0.01,2.74E-05,,
66,聚鑫19号,,0.012,3.29E-05,0.01,0.0001
67,聚鑫20号,,0.012,3.29E-05,0.01,0.0001
68,聚鑫21号,,0.012,3.29E-05,0.01,0.0001
69,通汇19号,,0.002,5.48E-06,-,0.0001
70,永汇1号,,0.01,2.74E-05,0.001,0.0001
71,民汇29号,,0.005,1.37E-05,-,0.0001
72,民汇28号,,0.003,8.22E-06,-,0.0005
73,坤惠1号,,0.005,1.37E-05,0.005,0.0001
74,璟惠1号,,0.005,1.37E-05,0.005,0.0001
75,胤通1号,,0.01,2.74E-05,0.001,0.0001
76,曜通1号,,0.005,1.37E-05,0.005,0.0001
77,通汇36号,,0.002,5.48E-06,-,0.0001
78,汇通7号,,0.0025,6.85E-06,-,0.0001
79,民汇32号,,0.0005,1.37E-06,-,0
80,聚鑫23号,,0.004,1.10E-05,-,0.0001
81,汇通6号,,0.002,5.48E-06,-,0.0001
82,和谐5号,,0.002,5.48E-06,-,0.0001
83,和谐6号,,0.002,5.48E-06,-,0.0001
84,和谐7号,,0.002,5.48E-06,-,0.0001
85,和谐8号,,0.002,5.48E-06,-,0.0001
86,民汇35号,,0.003,8.22E-06,-,0.0001
87,纯债1号,,0.005,1.37E-05,-,0.0001
88,债券增强1号,,0.003,8.22E-06,-,0.0001
89,通汇35号,,0.002,5.48E-06,-,0.0001
90,通汇39号,,0.002,5.48E-06,-,0.0001
91,通汇24号,,0.005,1.37E-05,-,0.0001
92,进取6号,,0.004,1.10E-05,0.006,0.0001
93,通汇20号,,0.002,5.48E-06,-,0.0001
94,通汇40号,,0.002,5.48E-06,-,0.0001
95,通汇49号,,0.002,5.48E-06,-,0.0001
96,惠安1号,,0.004,1.10E-05,0.004,0.0001
97,通汇23号,-,0.002,5.48E-06,-,0.0001
98,汇通9号,-,0.002,5.48E-06,-,0.0001
