,CONFIRMED_DATE,FUND_NUM,CLIENT_NAME,ACCOUNT_NAME,TRADE_NUM,FUND_CODE,FUND_NAME,ACTION,SHARES_CHANGED,MONEY_CHANGED,REMAINING_SHARES
0,20240430,TH0000005038,众安在线,众安在线保险经纪有限公司,542,999220,民汇20号,赎回,"-5,348,163.45","¥-6,428,492.47",0.00
1,20240103,TH0000004824,众安信息,众安信息技术服务有限公司,521,999214,月月盈理财债券,赎回,"-67,796,610.17","¥-70,088,135.59",0.00
2,20240202,TH0000004824,众安信息,众安信息技术服务有限公司,521,999214,月月盈理财债券,赎回,"-77,287,218.63","¥-80,092,744.67",0.00
3,20240426,TH0000004824,众安信息,众安信息技术服务有限公司,521,999214,月月盈理财债券,赎回,"-57,747,834.46","¥-60,248,315.69",0.00
4,20240119,TH0000004824,众安信息,众安信息技术服务有限公司,521,999214,月月盈理财债券,申购,"77,287,218.63","¥80,000,000.00","77,287,218.63"
5,20240305,TH0000004824,众安信息,众安信息技术服务有限公司,521,999214,月月盈理财债券,申购,"57,747,834.46","¥60,000,000.00","57,747,834.46"
6,20240314,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,999237,周周盈,赎回,"-42,170,681.60","¥-50,524,693.62",0.00
7,20240426,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,999237,周周盈,赎回,"-50,025,012.51","¥-60,120,060.03","2,500,416.74"
8,20240507,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,999237,周周盈,赎回,"-2,500,416.74","¥-3,007,001.17",0.00
9,20240227,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,999214,月月盈理财债券,赎回,"-28,887,819.00","¥-29,997,111.25","157,643,709.49"
10,20240314,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,999214,月月盈理财债券,赎回,"-25,430,379.35","¥-26,439,965.41","132,213,330.14"
11,20240315,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,999214,月月盈理财债券,赎回,"-19,234,469.00","¥-20,000,000.87","112,978,861.14"
12,20240315,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,999214,月月盈理财债券,赎回,"-3,846,894.00","¥-4,000,000.38","109,131,967.14"
13,20240326,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,999214,月月盈理财债券,赎回,"-14,411,990.00","¥-14,998,557.99","94,719,977.14"
14,20240507,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,999214,月月盈理财债券,赎回,"-94,719,977.14","¥-98,897,128.13",0.00
15,20240314,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,601847,民汇62号,赎回,"-68,084,729.15","¥-71,032,797.92",0.00
16,20240326,TH0010000432,中原农业,中原农业保险股份有限公司资本金交行托管专户,2042,999220,民汇20号,赎回,"-8,339,588.00","¥-9,999,999.97","19,220,331.11"
17,20240425,TH0010000432,中原农业,中原农业保险股份有限公司资本金交行托管专户,2042,999220,民汇20号,赎回,"-19,220,331.11","¥-23,097,071.89",0.00
18,20240221,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,999220,民汇20号,赎回,"-19,226,000.00","¥-23,000,063.80","22,716,790.03"
19,20240222,TH0000001269,中原农业,中原农业保险股份有限公司资本金托管专户,133,999220,民汇20号,赎回,"-22,716,790.03","¥-27,176,095.91",0.00
